,name,gender
5,rin,1
7,aa,1
8,ishah,1
9,aabas,2
10,aabeer,1
11,aabel,2
12,aabha,1
13,aabia,1
14,aabida,1
15,aabidammar,2
16,aabir,2
17,aabis,2
18,aabish,1
19,aabriella,1
20,aad,2
22,aada,1
23,aadham,2
24,aadharsh,2
25,aadhavan,2
26,aadheen,2
27,aadhi,2
28,aadhil,2
29,aadhiteya,2
30,aadhithya,2
31,aadhyan,2
32,aadin,2
33,aadineer,2
34,aadish,2
35,aadison,1
36,aadith,2
37,aadityaram,2
38,aadiv,2
39,aadje,1
40,aadl,2
41,aadle,2
42,aadra,1
43,aadrienne,1
44,aadrit,2
45,aaeedah,1
46,aaeesha,1
47,aaella,1
48,aaema,1
49,aaen,2
50,aaesha,1
51,aaf,1
52,aafaf,1
53,aafarida,1
54,aafiyah,1
55,aafkea,1
56,aafko,2
57,aafrin,1
58,aagat,2
59,aagmanpal,2
60,aagoth,1
61,aagyadeep,1
62,aahliah,1
63,aahliana,1
64,aahliya,1
65,aahliyah,1
66,aaiana,1
67,aaidah,1
68,aaidyn,2
69,aaijay,2
70,aailah,1
71,aailiyah,1
72,aaisha,1
73,malek,1
74,aaishah,1
75,amina,1
76,aaiyana,1
77,aaiyla,1
78,aaizah,1
79,aaja,1
80,aajaylah,1
81,aajon,2
82,aakashdeep,2
83,aakeem,2
84,aakesh,2
85,aakif,2
86,aakifa,1
87,aakifah,1
88,aakilah,1
89,aakira,1
90,aakiyah,1
91,aakruti,1
92,aalaa,1
94,aalaiya,1
95,aalana,1
96,aalanah,1
97,aalani,1
98,aalap,2
99,aalay,2
100,aalayiah,1
101,aalayjah,1
102,aalayna,1
103,aalaysha,1
104,aalaysia,1
105,aalbert,2
106,aalbjorg,1
107,aalbjorn,2
108,aalderich,2
109,aalderk,2
110,aaldrik,2
111,aale,2
112,aaleahya,1
113,aaleem,2
114,aaleeya,1
115,aaleeyah,1
116,aaleia,1
117,aaleiyah,1
118,aalesha,1
119,aalexus,1
120,aaleyah,1
122,aalgeir,2
123,aalheiur,1
124,aali,2
125,aaliaan,2
126,aaliana,1
127,aalias,2
128,aaliayah,1
129,aaliayh,1
130,aalicia,1
131,aaliegha,1
132,aaliha,1
133,aalijah,0
134,aalimah,1
135,aalish,1
136,aalivia,1
137,aaliyaa,1
158,aaliyaha,1
159,aaliyahmarie,1
160,aaliyahrose,1
161,aaliyana,1
